Var = 1 means Lf  Var = 2 means subs  Var = 3 means pars
Lf in microns, subs and pars in mg/l
Var Index  0 = Lf
Var Index  1 = Glu
Var Index  2 = Bio
Var Index  3 = Pse
Var Index  4 = Dea

Unit,  Time,  Var,  Var Index,  Grid  1,  Grid  2,  Grid  3,  Grid  4,  Grid  5,  Bulk
0,    3.800,  1,  0,   2.61000e+00
0,    3.800,  2,  1,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    3.800,  2,  2,   2.17745e+00,   2.17825e+00,   2.18065e+00,   2.18465e+00,   2.19025e+00,   2.91175e+00
0,    3.800,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   0.00000e+00
0,    3.800,  3,  4,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   2.38000e-03
0,    3.900,  1,  0,   2.55000e+00
0,    3.900,  2,  1,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    3.900,  2,  2,   2.20304e+00,   2.20381e+00,   2.20612e+00,   2.20997e+00,   2.21537e+00,   2.92748e+00
0,    3.900,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   0.00000e+00
0,    3.900,  3,  4,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   2.26000e-03
0,    4.000,  1,  0,   2.49000e+00
0,    4.000,  2,  1,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    4.000,  2,  2,   2.22792e+00,   2.22866e+00,   2.23089e+00,   2.23460e+00,   2.23980e+00,   2.94275e+00
0,    4.000,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   0.00000e+00
0,    4.000,  3,  4,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   2.15000e-03
0,    4.100,  1,  0,   2.43000e+00
0,    4.100,  2,  1,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    4.100,  2,  2,   2.25211e+00,   2.25283e+00,   2.25497e+00,   2.25855e+00,   2.26357e+00,   2.95757e+00
0,    4.100,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   0.00000e+00
0,    4.100,  3,  4,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   2.05000e-03
0,    4.200,  1,  0,   2.37000e+00
0,    4.200,  2,  1,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    4.200,  2,  2,   2.27565e+00,   2.27634e+00,   2.27841e+00,   2.28186e+00,   2.28670e+00,   2.97197e+00
0,    4.200,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   0.00000e+00
0,    4.200,  3,  4,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.95000e-03
0,    4.300,  1,  0,   2.32000e+00
0,    4.300,  2,  1,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    4.300,  2,  2,   2.29855e+00,   2.29922e+00,   2.30122e+00,   2.30455e+00,   2.30923e+00,   2.98597e+00
0,    4.300,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   0.00000e+00
0,    4.300,  3,  4,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.87000e-03
0,    4.400,  1,  0,   2.27000e+00
0,    4.400,  2,  1,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    4.400,  2,  2,   2.32085e+00,   2.32150e+00,   2.32343e+00,   2.32665e+00,   2.33117e+00,   2.99958e+00
0,    4.400,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   0.00000e+00
0,    4.400,  3,  4,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.78000e-03
0,    4.500,  1,  0,   2.22000e+00
0,    4.500,  2,  1,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    4.500,  2,  2,   2.34258e+00,   2.34320e+00,   2.34507e+00,   2.34818e+00,   2.35255e+00,   3.01282e+00
0,    4.500,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   0.00000e+00
