Var = 1 means Lf  Var = 2 means subs  Var = 3 means pars
Lf in microns, subs and pars in mg/l
Var Index  0 = Lf
Var Index  1 = Glu
Var Index  2 = H2O2
Var Index  3 = Dead
Var Index  4 = Pse

Unit,  Time,  Var,  Var Index,  Grid  1,  Grid  2,  Grid  3,  Grid  4,  Grid  5,  Grid  6,  Grid  7,  Grid  8,  Grid  9,  Bulk
0,    0.230,  2,  2,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    0.230,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   4.50100e-02
0,    0.230,  3,  4,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   5.17745e+00
0,    0.240,  1,  0,   1.57550e+02
0,    0.240,  2,  1,   7.67022e+00,   7.83822e+00,   8.34402e+00,   9.19273e+00,   1.03919e+01,   1.19506e+01,   1.38782e+01,   1.61841e+01,   1.88766e+01,   1.94919e+01
0,    0.240,  2,  2,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    0.240,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   4.92900e-02
0,    0.240,  3,  4,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   5.70570e+00
0,    0.250,  1,  0,   1.63150e+02
0,    0.250,  2,  1,   6.36101e+00,   6.53236e+00,   7.04900e+00,   7.91818e+00,   9.15049e+00,   1.07582e+01,   1.27541e+01,   1.51500e+01,   1.79568e+01,   1.85761e+01
0,    0.250,  2,  2,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    0.250,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   5.38000e-02
0,    0.250,  3,  4,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   6.26655e+00
0,    0.260,  1,  0,   1.68510e+02
0,    0.260,  2,  1,   5.19760e+00,   5.36941e+00,   5.88851e+00,   6.76503e+00,   8.01354e+00,   9.65061e+00,   1.16928e+01,   1.41555e+01,   1.70522e+01,   1.76710e+01
0,    0.260,  2,  2,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    0.260,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   5.85100e-02
0,    0.260,  3,  4,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   6.85829e+00
0,    0.270,  1,  0,   1.73590e+02
0,    0.270,  2,  1,   4.20969e+00,   4.37895e+00,   4.89175e+00,   5.76185e+00,   7.00877e+00,   8.65424e+00,   1.07196e+01,   1.32240e+01,   1.61841e+01,   1.67979e+01
0,    0.270,  2,  2,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    0.270,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   6.34100e-02
0,    0.270,  3,  4,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.47838e+00
0,    0.280,  1,  0,   1.78330e+02
